AGENCY_AREA,CATCHMENT,WATERBODY_TYPE_DESCRIPTION,WATER_BODY,SITE_ID,SITE_VERSION,NGR_PREFIX,EASTING,NORTHING,NGR_10_FIG,FULL_EASTING,FULL_NORTHING,WFD_WATERBODY_ID,ALKALINITY,BASE_DATA_DATE,MIN_SAMPLE_DATE,MAX_SAMPLE_DATE,COUNT_OF_SAMPLES,ECN_SITE_DIAT
ANGLIAN - CENTRAL,CAM (2),RIVER: Natural/semi-natural flowing fresh watercourse,CAM,56109,1,TL,43115,52707,TL4311552707,543115,252707,GB105033037600,259.6,03/07/2013,18/05/2009,11/05/2012,3,False
ANGLIAN - CENTRAL,CAM (2),RIVER: Natural/semi-natural flowing fresh watercourse,CAM,56070,1,TL,49100,45400,TL4910045400,549100,245400,GB105033037590,268.0,08/11/2016,01/05/2007,24/10/2007,2,False
ANGLIAN - CENTRAL,CAM (2),RIVER: Natural/semi-natural flowing fresh watercourse,SLADE,152694,1,TL,53339,38635,TL5333938635,553339,238635,GB105033037580,,,18/06/2009,14/06/2011,2,False
ANGLIAN - CENTRAL,IVEL,RIVER: Natural/semi-natural flowing fresh watercourse,FANCOTT BROOK,56306,1,TL,02727,31671,TL0272731671,502727,231671,GB105033037640,237.1,01/01/1995,20/04/2009,16/09/2014,6,False
ANGLIAN - CENTRAL,IVEL,RIVER: Natural/semi-natural flowing fresh watercourse,ICKWELL BROOK,56263,1,TL,15973,48037,TL1597348037,515973,248037,GB105033037800,223.8,23/01/2014,12/05/2015,12/05/2015,1,False
ANGLIAN - CENTRAL,IVEL,RIVER: Natural/semi-natural flowing fresh watercourse,IVEL,133361,1,TL,18900,38500,TL1890038500,518900,238500,GB105033037760,,,24/07/2009,08/06/2011,2,False
ANGLIAN - CENTRAL,IVEL,RIVER: Natural/semi-natural flowing fresh watercourse,IVEL,92417,1,TL,18300,41400,TL1830041400,518300,241400,GB105033037780,232.3,28/02/2013,31/07/2009,02/08/2011,2,False
ANGLIAN - CENTRAL,LARK,RIVER: Natural/semi-natural flowing fresh watercourse,KENNET,55999,1,TL,66231,73310,TL6623173310,566231,273310,GB105033043020,235.6,01/01/1995,21/04/2010,12/10/2010,2,False
ANGLIAN - CENTRAL,LARK,RIVER: Natural/semi-natural flowing fresh watercourse,LARK,92429,1,TL,68900,74300,TL6890074300,568900,274300,GB105033043052,253.1,28/02/2013,18/08/2009,24/08/2011,2,False
ANGLIAN - CENTRAL,"LT OUSE, SAPISTON, THET",RIVER: Natural/semi-natural flowing fresh watercourse,THET,92477,1,TM,02948,95071,TM0294895071,602948,295071,GB105033047830,270.1,28/02/2013,04/08/2009,27/06/2011,2,False
