AGENCY_AREA,ANALYSIS_ID,TAXON_LIST_ITEM_KEY,UNITS_FOUND_OR_SEQUENCE_READS
ANGLIAN - CENTRAL,609385,NBNSYS0100041529,1
ANGLIAN - CENTRAL,609385,NHMSYS0020475041,10
ANGLIAN - CENTRAL,609385,NBNSYS0100041921,5
ANGLIAN - CENTRAL,609385,NBNSYS0100041935,27
ANGLIAN - CENTRAL,609385,NBNSYS0100041946,1
ANGLIAN - CENTRAL,609385,NBNSYS0100042879,4
ANGLIAN - CENTRAL,609385,NBNSYS0100043872,1
ANGLIAN - CENTRAL,609385,NBNSYS0100043875,6
ANGLIAN - CENTRAL,609385,NBNSYS0100043878,9
ANGLIAN - CENTRAL,609385,NBNSYS0100043879,2
ANGLIAN - CENTRAL,609385,NBNSYS0100044842,1
ANGLIAN - CENTRAL,609385,NBNSYS0100045704,2
ANGLIAN - CENTRAL,609385,NBNSYS0100046435,1
ANGLIAN - CENTRAL,609385,NBNSYS0100046698,2
ANGLIAN - CENTRAL,609385,NBNSYS0100046702,5
ANGLIAN - CENTRAL,609385,NBNSYS0100046734,6
ANGLIAN - CENTRAL,609385,NBNSYS0100046742,1
ANGLIAN - CENTRAL,609385,NHMSYS0020063128,21
ANGLIAN - CENTRAL,609385,NBNSYS0100048637,1
ANGLIAN - CENTRAL,609385,NBNSYS0100049162,2
ANGLIAN - CENTRAL,609385,NBNSYS0100049239,2
ANGLIAN - CENTRAL,609385,NBNSYS0100049293,33
ANGLIAN - CENTRAL,609385,NBNSYS0100049331,54
ANGLIAN - CENTRAL,609385,NBNSYS0100049353,2
ANGLIAN - CENTRAL,609385,NBNSYS0100049406,11
ANGLIAN - CENTRAL,609385,NBNSYS0100049459,2
ANGLIAN - CENTRAL,609385,NBNSYS0100049481,8
ANGLIAN - CENTRAL,609385,NBNSYS0100049703,2
ANGLIAN - CENTRAL,609385,NBNSYS0100049705,10
ANGLIAN - CENTRAL,609385,NBNSYS0100049729,1
ANGLIAN - CENTRAL,609385,NBNSYS0100049740,20
ANGLIAN - CENTRAL,609385,NBNSYS0100049757,3
ANGLIAN - CENTRAL,609385,NBNSYS0100049767,2
ANGLIAN - CENTRAL,609385,NBNSYS0100049770,1
ANGLIAN - CENTRAL,609385,NBNSYS0100049794,1
ANGLIAN - CENTRAL,609385,NBNSYS0100049811,3
ANGLIAN - CENTRAL,609385,NBNSYS0100049828,3
ANGLIAN - CENTRAL,609385,NBNSYS0100049843,7
ANGLIAN - CENTRAL,609385,NBNSYS0100051130,3
ANGLIAN - CENTRAL,609385,NBNSYS0100051134,6
ANGLIAN - CENTRAL,609385,NHMSYS0000524017,3
ANGLIAN - CENTRAL,609385,NBNSYS0100051971,4
ANGLIAN - CENTRAL,609385,NBNSYS0100052065,3
ANGLIAN - CENTRAL,609385,NBNSYS0100052466,1
ANGLIAN - CENTRAL,609385,NBNSYS0100053352,8
ANGLIAN - CENTRAL,609385,NBNSYS0100053358,3
ANGLIAN - CENTRAL,609385,NBNSYS0100053503,2
ANGLIAN - CENTRAL,609385,NBNSYS0100053515,9
ANGLIAN - CENTRAL,609385,NBNSYS0100053652,1
ANGLIAN - CENTRAL,609385,NBNSYS0100054306,1
ANGLIAN - CENTRAL,609387,NHMSYS0020475041,4
ANGLIAN - CENTRAL,609387,NBNSYS0100041935,14
ANGLIAN - CENTRAL,609387,NBNSYS0100041946,13
ANGLIAN - CENTRAL,609387,NBNSYS0100042879,2
ANGLIAN - CENTRAL,609387,NBNSYS0100043872,2
ANGLIAN - CENTRAL,609387,NBNSYS0100043875,10
ANGLIAN - CENTRAL,609387,NBNSYS0100043878,21
ANGLIAN - CENTRAL,609387,NBNSYS0100043879,2
ANGLIAN - CENTRAL,609387,NBNSYS0100044576,1
ANGLIAN - CENTRAL,609387,NBNSYS0100045220,1
ANGLIAN - CENTRAL,609387,NBNSYS0100045229,1
ANGLIAN - CENTRAL,609387,NBNSYS0100046435,3
ANGLIAN - CENTRAL,609387,NBNSYS0100046453,1
ANGLIAN - CENTRAL,609387,NBNSYS0100046687,1
ANGLIAN - CENTRAL,609387,NBNSYS0100046698,50
ANGLIAN - CENTRAL,609387,NBNSYS0100046734,20
ANGLIAN - CENTRAL,609387,NBNSYS0100046740,27
ANGLIAN - CENTRAL,609387,NBNSYS0100046742,4
ANGLIAN - CENTRAL,609387,NHMSYS0020063128,14
ANGLIAN - CENTRAL,609387,NBNSYS0100047785,1
ANGLIAN - CENTRAL,609387,NHMSYS0020063130,5
ANGLIAN - CENTRAL,609387,NBNSYS0100049186,3
ANGLIAN - CENTRAL,609387,NBNSYS0100049293,4
ANGLIAN - CENTRAL,609387,NBNSYS0100049331,17
ANGLIAN - CENTRAL,609387,NBNSYS0100049353,3
ANGLIAN - CENTRAL,609387,NBNSYS0100049354,1
ANGLIAN - CENTRAL,609387,NBNSYS0100049406,21
ANGLIAN - CENTRAL,609387,NBNSYS0100049428,1
ANGLIAN - CENTRAL,609387,NBNSYS0100049481,18
ANGLIAN - CENTRAL,609387,NBNSYS0100049729,1
ANGLIAN - CENTRAL,609387,NBNSYS0100049740,3
ANGLIAN - CENTRAL,609387,NBNSYS0100049794,2
ANGLIAN - CENTRAL,609387,NBNSYS0100049811,2
ANGLIAN - CENTRAL,609387,NBNSYS0100049828,1
ANGLIAN - CENTRAL,609387,NBNSYS0100049843,2
ANGLIAN - CENTRAL,609387,NBNSYS0100051134,16
ANGLIAN - CENTRAL,609387,NBNSYS0100052065,6
ANGLIAN - CENTRAL,609387,NBNSYS0100052466,3
ANGLIAN - CENTRAL,609387,NBNSYS0100053515,1
ANGLIAN - CENTRAL,609387,NBNSYS0100053652,1
ANGLIAN - CENTRAL,660112,NBNSYS0100041571,1
ANGLIAN - CENTRAL,660112,NHMSYS0020475041,51
ANGLIAN - CENTRAL,660112,NBNSYS0100041921,1
ANGLIAN - CENTRAL,660112,NBNSYS0100041935,68
ANGLIAN - CENTRAL,660112,NBNSYS0100043866,2
ANGLIAN - CENTRAL,660112,NBNSYS0100043872,26
ANGLIAN - CENTRAL,660112,NBNSYS0100043875,1
ANGLIAN - CENTRAL,660112,NBNSYS0100043878,6
ANGLIAN - CENTRAL,660112,NHMSYS0020063119,1
ANGLIAN - CENTRAL,660112,NBNSYS0100045227,1
